,Question,Answer
0,请简单介绍下公司的核心业务及产品？公司现在有没有尝试新的利润增长点？或新的盈利模式来增加收益呢？,"报告期内，公司主要从事品牌服饰运营、供应链管理、品牌管理、商业保理等业务，着力构建一个服务时尚生活产业上下游企业的综合服务体系，将公司打造成为中国具备领先优势的时尚生活产业综合服务提供商。
在品牌服饰运营方面，主要从事“潮流前线”及系列子品牌的设计与销售业务，通过集合10个潮流子品牌在“潮流前线”专卖店销售，打造大型休闲服饰集合店。公司服饰品牌的消费者定位为16-35周岁的年轻人，价格定位为平价的时尚，市场定位为国内三、四线市场。公司通过直营与特许加盟相结合的模式在全国建立销售渠道，在国内三、四线市场建立了领先的竞争优势。
供应链管理是公司近年来大力发展的新业务，已经成为公司新的业务增长点和主要利润来源。该业务以全资子公司东莞市搜于特供应链管理有限公司作为运作平台，在全国各纺织服装产业集群地区分别与各合作伙伴投资设立控股子公司，汇聚本区域的供应链资源和市场资源，利用公司多年来在集中采购、设计研发、生产管理以及仓储配送等方面的经验和优势，为时尚产业品牌商、制造商等客户提供高效、低成本的供应链服务，在全国构建一个覆盖范围广、供应能力强的时尚产业供应链服务体系。报告期内，公司在广东东莞、增城、佛山，湖北荆门、荆州，江苏吴江、南通，浙江绍兴，福建厦门等地共有11家供应链管理控股子公司开展相关业务。报告期内，供应链管理公司共实现营业收入1,480,344.89万元，占全年营业总收入的80.68%，实现净利润46,194.33万元，占公司净利润的75.38%，带动公司业绩大幅度提升。未来，在时尚产业供应链管理方面的市场前景仍然十分巨大，能够为公司带来更多的收益。
"
1,针对年轻的客户群体，在营销手段上有何创新？,"（1）公司目前聘请了韩国偶像男子组合GOT7担任品牌代言人，提高“潮流前线”品牌在年轻消费群体中的传播力。
（2）“潮流前线”在行业中较早实施了多品牌战略，推出10个不同风格和定位的潮流子品牌，满足不同消费群体的个性化需求。
（3）积极开发新零售O2O掌店通项目，充分利用门店渠道优势，以门店和导购为切入点，借助移动互联网，将庞大的线下流量沉淀到线上，进一步加大线上线下一体化营销渠道建设，推进销售收入增长。
"
2,那些项目能给公司带来利润增长点？,公司目前的主要业务收入和利润来源于品牌服饰业务和供应链管理业务，这两块业务市场空间巨大。公司今年将不断完善和改进现有的业务模式，不断为公司创造新价值。
3,近年来潮流运动服装是否国产品牌有重新崛起的趋势？公司在这方面有没有相应利好？,公司的“潮流前线”品牌定位为休闲服饰，包括了时尚运动元素，尚没有经营潮流运动服装。
4,请问公司的主要合作客户分布在哪些行业？都有哪些知名的合作商？,公司主要供应商及客户以织服装行业为主，合作主要的供应商有万事利集团，传化集团等，公司的主要合作客户以中小型为主，包括纺织原材料厂家、服装生产加工厂家等。
5,公司打造供应链业务体系，且发展迅速，搜于特名称与主业不大匹配，是否考虑更名为时尚智造,搜于特公司目前除了供应链管理业务，还有品牌服饰、品牌管理、商业保理等业务。
6,马董事长今年50知天命之年，年富力强，供应链业务快速发展适应供给侧改革的大趋势，是否有打造中国第一的伟大愿景,公司成立到现在仅12年，是间很年轻的公司，管理团队也很年轻，对未来还有很多梦想，相信通过自己脚踏实地的努力，能一步一步实现梦想。
7,公司旗下一共有多少个服装品牌？,公司“潮流前线”品牌服饰旗下共有10个不同风格的子品牌，包括：帕讯、弗里•睿路、芒斯特、比觅、米蜜儿、佩蔻妮、野奈川、D潮品、J21、哈乐莱。
8,董事长，我很看好我们公司的转型思路，想请教一下：1，四季度业绩下降那么多的主要原因是什么？2，几大供应链区域中心的运行情况怎么样，是否遇到瓶颈了？3、董事长在对我们股东施行的分红措施力度还是很大的。作为股东，我们很在乎公司的业绩，公司的股价经过2年的横盘下跌后，估值已经完全消化（跟江苏国泰、怡亚通甚至还贵一点），马总能否在业绩方面说点啥，好坚定下我们股东的信心？,"四季度利润少主要是年底要计提各项资产减值准备，减少了公司利润。目前各供应链均运行良好，暂时没有遇到发展瓶颈。在业绩方面我们也是要稳健发展，今年是公司管理年度，公司有意识的放缓发展速度，以控制风险、完善业务模式为重点，推进供应链管理业务的平稳发展，为公司营业收入和利润的稳步增长提供坚实的支撑。
"
9,公司估值出于一个偏低的水平（PE才16倍），是否有考虑拓展其他领域的业务布局，从而有利于提升估值？,目前，公司的发展战略为在巩固提升现有服装品牌业务基础上，充分利用公司在时尚产业深耕多年所积累的资源和所做的投资布局，大力向供应链管理、品牌管理、商业保理等时尚生活产业的各项增值服务领域发展，为产业链各个环节提供全方位、多层次的增值服务，将公司打造成为中国具备领先优势的时尚生活产业综合服务提供商。目前公司各项业务在有序推进，未来成长空间巨大。
10,公司是否有区块链方面的技术应用？,公司于2017年8月成立全资子公司东莞市搜于特信息科技有限公司，推动B2B供应链服务平台的相关建设工作。公司目前正在全力推动供应链信息化管理的顺利展开，运用互联网、大数据、云计算、物联网等现代信息技术，全力打造信息、服务齐全的B2B供应链服务平台。公司也在密切关注区块链技术在供应链管理业务中的应用前景，探索如何利用新兴技术为供应链管理服务。
11,公司目前是否有运用区块链技术？该技术对公司未来业绩有何影响？,公司于2017年8月成立全资子公司东莞市搜于特信息科技有限公司，推动B2B供应链服务平台的相关建设工作。公司目前正在全力推动供应链信息化管理的顺利展开，运用互联网、大数据、云计算、物联网等现代信息技术，全力打造信息、服务齐全的B2B供应链服务平台。公司也在密切关注区块链技术在供应链管理业务中的应用前景，探索如何利用新兴技术为供应链管理服务。
12,公司今年预计设立多少家供应链管理项目子公司？,2018年，公司将继续按照既有战略发展规划，持续推进供应链管理的各项业务工作，具体再设立多少家供应链管理公司，目前尚在规划中。
13,公司扩张很快，供应链业务资金缺口似乎较大，公司是如何解决的。公司资金发债的利率7.5%，融资成本是否太高？如何应对现金流为负的情况？,公司将利用债务融资工具，如发行可转债、中期票据、短期融资券、超短期融资券和银行借贷等进行融资，来满足公司快速增长的资金需求。
14,如何看待供应链管理在新时代中的应用？公司在该领域有何建树和发展规划？,"中国纺织服装产业规模基数巨大，产业链条长，中间环节多；造成经营成本高、效率低、资金成本高。迫切需要产业整合者通过资源的整合，从供给端入手，提升质量、降低成本、提高效率，形成有效供给，从而推动整个产业转型升级。纺织服装供应链管理业务发展空间巨大。
2017年，公司大力推动供应链管理业务的发展，供应链管理业务增长迅速，供应链管理公司共实现营业收入1,480,344.89万元，占全年营业总收入的80.68%，实现净利润46,194.33万元，占公司净利润的75.38%，带动公司业绩大幅度提升，成为公司主要业务收入和利润来源。 
2018年，在供应链管理业务方面，公司将以控制风险、完善业务模式为重点，加强培训，继续拓宽业务范围，推出B2B交易平台，为客户提供高效率、低成本的增值服务，推进供应链管理业务的平稳发展，为公司营业收入和利润的稳步增长提供坚实的支撑。"
15,公司请了哪些明星做代言呢?选择明星的标准是什么？,公司聘请了韩国偶像男子组合GOT7担任品牌代言人。“潮流前线”品牌休闲时尚服饰主要定位在16-35周岁的年轻人，因此品牌代言人通常需在时尚年轻群体中有较为广泛的知名度和美名度，受到年轻人关注和喜爱。
16,公司股价处于近年来的底部区域，是否反映出所处的服装行业不被市场看好的问题？,近年来，服装行业整体上竞争较为激烈。在报告期内，公司为夯实服装品牌运营基础，实施店铺去库存以及关停部分差劣店铺等措施，造成报告期内公司的服饰业务有所下滑。从未来看，我国服装行业已从同质化的数量增长转向个性化、时尚化、高性价比的方向增长。中国服饰品牌需要重塑自己的货品体系、价格体系、营销体系、服务体系和供应链体系，建立能适应消费市场新变化的独特品牌特质和盈利模式，才能在激烈竞争的市场中重生。中国作为一个快速发展的具有庞大消费市场的发展中国家，随着人们消费水平日益提高，庞大消费人口对性价比高、服务体验好的服饰品牌有着巨大的需求。目前，中国服装消费市场在新旧动能转换过程中，具有生命力的服装品牌已逐步找到新的成长动力，中国服装市场正逐步焕发新活力，未来发展空间巨大。
17,对于库存高企有什么应对措施吗？,公司库存的增长主要是因为公司业务快速增长的备货以及品牌服饰联营店库存增加所致。公司将继续加强存货管理，加大服饰联营店促销力度、提高存货周转率等措施来降低公司库存。
18,2014年以来，公司的净利润连年上升，主要是得益于什么因素？,公司坚定不移地推进发展战略规划的实施，在稳固发展服饰品牌运营的基础上，大力推动供应链管理业务的发展，近三年来供应链管理业务得到了增长迅速，带动公司业绩大幅度提升，目前已 成为公司主要业务和利润来源。
19,目前公司有哪些并购项目？运用情况如何？,公司暂没有并购项目。
20,公司在互联网服装企业供应链服务年收入是多少？占比是多少？,公司暂没有在互联网上提供供应链管理业务。
21,目前公司的实体门店还有扩张趋势吗？会重点布局哪些城市呢？,公司将在稳固提升现有服装品牌业务基础上拓展新的店铺，重点还是以华南、华东市场为主。
22,公司是否考虑减少几家联营店？,公司将根据当地服装市场情况、店铺情况以及加盟商的意愿等综合因素考虑是否开具联营店。
23,公司有做理财投资业务吗？怎么看待上市公司做理财投资的？,公司有用自有资金及募集资金购买银行保本型理财产品，主要是为了提高资金的使用效益。
